Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.952","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.051","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.117","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.197","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.599","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.204","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.441","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.707","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.911","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.089","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","37.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","27.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","19.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","20.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2017","2017","million No","1.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2018","2018","million No","0.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2019","2019","million No","0.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2020","2020","million No","0.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.763","E","Estimated value"
