Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.332509291,1.349391347,1.360452681,1.390368983,1.440554657,1.448345172,1.452483225,1.461882684,1.466449031,1.467774225,1.477246811,1.478071922,1.50323192,1.523608213,1.521410478,1.52148464,1.52711626,1.564827633,1.641937756,1.612608916,1.619559716,1.637763143,1.550250981,1.526729898,1.529694084,1.555083308,1.530475021,1.520547271,1.551887512,1.60569787,1.555178285,1.513443828,,
Africa Eastern and Southern,AFE,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35936716,12.380411,12.80721824,13.53290833,16.47560686,15.40821005,15.48984353,16.788313,16.87522892,17.21507695,17.09177542,16.3462099,16.24179182,16.09155655,15.55379506,15.37899694,15.78719308,15.98978138,,
Africa Western and Central,AFW,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030389175,0.094779522,0.193460515,0.659198151,2.710056772,6.656425128,13.68800533,26.53066017,37.08968976,44.10664987,48.41334489,52.8374259,57.23213385,65.32252011,73.56791855,80.93180084,79.64922434,81.62107903,80.52846768,81.90790682,97.73723248,115.9111481,130.8941193,145.3989105,171.1453705,203.688736,228.8709708,249.8151232
Albania,ALB,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.891082508,15.47644065,27.81125761,33.2206729,34.83243651,38.14686789,49.64359011,58.08753145,58.40703589,57.35437531,57.428485,57.85849605,57.62170891,56.72903268,56.68417392,57.20011454,57.68606908,57.65148386,57.98566553,56.75734073,55.5875904,53.86265958,54.17024768,54.25200029,52.52503945,52.88585526,52.76542947,52.63842634,51.01300709,51.62641107,52.24044806,49.21327605,48.76570676
Andorra,AND,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708549678,0.692338632,0.677545433,0.663957058,0.639068842,,
Arab World,ARB,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.241164082,2.422705988,2.469323717,2.450809624,2.396653175,2.383865703,2.450696299,2.702837121,2.801142531,2.818846879,2.79005456,2.601711035,2.445976973,2.551149368,2.727601767,2.659121195,2.595536286
Argentina,ARG,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.161163568,3.679492674,4.600339086,6.440049024,8.084159342,11.03863201,11.0821228,14.62256336,22.16221809,29.99924469,42.98624039,,
Armenia,ARM,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.106917778,37.47453426,100.589516,115.9811848,129.1538284,138.2092827,136.1267287,130.6386439,131.0448591,130.3663477,133.4912854,139.0609713,135.3571455,134.9197221,136.9591259,143.7001123,149.1258515,158.7159101,165.6290436,158.0763799,178.7386447,183.6015707,185.2094939,173.0294637,166.4790192,166.1702576,162.5821228,158.3778381,164.2264862,165.196783,161.807814
American Samoa,ASM,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921169325,0.943105903,0.948080232,0.939476392,0.929917969,0.917414109,0.931516113,0.925673067,0.913742499,0.901705459,0.90344639,,
Antigua and Barbuda,ATG,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33690091,2.312506036,2.254231316,2.223027049,2.24100686,2.234946606,2.220860075,2.193065267,2.162511166,2.132305761,2.162999117,2.158774604,2.195518401,2.201901436,2.174412524,2.274362737,2.338751972,2.440794818,2.449155056,2.579553843,2.368958473,2.329138279,2.233314991,2.142170191,2.132813881,2.152290939
Australia,AUS,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.386128,1.390489,1.379495,1.374035,1.367211,1.376246,1.374058,1.369043,1.377208,1.37299,1.385139,1.404676,1.42345,1.455454,1.440795,1.46414,1.495671,1.503938,1.530675,1.549731,1.554906,1.526641,1.546202,1.518153,1.530216,1.545456,1.533296,1.56288,1.559359,1.56525,1.544585,1.504287,1.450002,1.438033
Austria,AUT,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939905,0.938271,0.944739,0.949866,0.951603,0.952708,0.946515,0.944974,0.932048,0.927895,0.908532,0.925468,0.911887,0.899506,0.89373,0.887601,0.877987,0.878081,0.872035,0.863846,0.856631,0.850842,0.855789,0.845407,0.845595,0.850461,0.832053,0.837481,0.827618,0.80591,0.784144,0.751716,0.733283,0.76851
Azerbaijan,AZE,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000184831,0.002204655,0.037863505,0.188482416,0.219362185,0.222227329,0.217139571,0.194375074,0.191419584,0.189038664,0.191244046,0.191176296,0.198682967,0.210763817,0.221182939,0.250960856,0.292071005,0.297383958,0.309341424,0.323440015,0.3009941,0.324175232,0.321487682,0.356664581,0.412910833,0.481712788,0.482708573,0.474490911,0.469517499,0.482756495,0.50890271,0.531724428
Burundi,BDI,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.71411539,85.4472251,84.4474518,89.96592776,100.7026381,116.8238436,143.5019721,183.849877,203.6703348,206.0568596,248.0252624,263.6314796,255.9713308,276.939009,291.7713226,319.5940454,318.1063124,335.3005878,401.7149964,445.7024423,466.984341,496.1166382,527.272453,556.5912806,558.6331487,568.3505348,575.6539236,641.3588257,622.6746826,607.7503662,633.8843384,657.4093018,723.1368337,881.6681793
Belgium,BEL,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974792,0.969794,0.961942,0.962473,0.964105,0.958813,0.9548,0.955976,0.972315,0.963518,0.924758,0.924977,0.910932,0.926715,0.921636,0.92366,0.922243,0.925602,0.916938,0.90348,0.894115,0.880715,0.88312,0.87123,0.859895,0.865343,0.854022,0.857157,0.846182,0.817888,0.797428,0.799937,0.791935,0.807161
Benin,BEN,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8781733,133.5396258,180.2925767,200.7359905,204.6032978,206.8597148,215.4171299,211.4934136,213.1066618,215.506868,217.4227896,215.7584714,211.9690517,216.0114539,217.1754314,213.8928538,222.3551218,225.1480902,226.4058352,225.4124756,225.767848,227.7759081,222.3315532,219.2134202,212.5712828,215.3617554,216.6186066,213.3266449,218.8224487,219.0110931,205.5219388,202.7873789
