"speccode","species","fbname"
2566,"Beringraja rhina","Longnose skate"
26227,"Blennophis anguillaris","Snaky klipfish"
4955,"Bodianus speciosus","Blackbar hogfish"
15224,"Boesemania microlepis","Boeseman croaker"
10009,"Bostrychus africanus", 
12248,"Botia dario","Bengal loach"
6008,"Boulengerochromis microlepis","Giant cichlid"
8312,"Brachirus orientalis","Oriental sole"
25167,"Brachirus panoides", 
12222,"Brachyhypopomus brevirostris","Bluntnose knifefish"
58421,"Brachyplatystoma rousseauxii", 
7555,"Brachyplatystoma vaillantii","Laulao catfish"
22613,"Brachysomophis porphyreus", 
4593,"Branchiostegus japonicus","Horsehead tilefish"
4935,"Branchiostegus semifasciatus","Zebra tilefish"
7297,"Brotula multibarbata","Goatsbeard brotula"
11090,"Brycinus kingsleyae", 
5231,"Brycinus leuciscus", 
5234,"Brycinus longipinnis","Longfin tetra"
5235,"Brycinus nurse","Nurse tetra"
25516,"Brycon cephalus", 
52994,"Brycon hilarii", 
48557,"Brycon orbignyanus", 
12115,"Calophysus macropterus","Zamurito"
10849,"Campylomormyrus numenius", 
13157,"Capoeta capoeta","Seven khramulya"
1925,"Carangoides dinema","Shadow trevally"
1920,"Carangoides equula","Whitefin trevally"
1905,"Carangoides gymnostethus","Bludger"
1908,"Carangoides oblongus","Coachwhip trevally"
1915,"Carangoides otrynter","Threadfin jack"
1896,"Caranx bucculentus","Bluespotted trevally"
1928,"Caranx tille","Tille trevally"
3128,"Carapus bermudensis","Pearlfish"
270,"Carassius carassius","Crucian carp"
6376,"Carassius gibelio","Prussian carp"
857,"Carcharhinus acronotus","Blacknose shark"
859,"Carcharhinus altimus","Bignose shark"
860,"Carcharhinus amblyrhynchoides","Graceful shark"
865,"Carcharhinus brevipinna","Spinner shark"
866,"Carcharhinus cautus","Nervous shark"
867,"Carcharhinus dussumieri","Whitecheek shark"
872,"Carcharhinus isodon","Finetooth shark"
 ,"Carcharhinus perezi", 
747,"Carcharias taurus","Sand tiger shark"
4928,"Carlarius heudelotii","Smoothmouth sea catfish"
10248,"Cataetyx laticeps", 
2965,"Catostomus commersonii","White sucker"
2969,"Catostomus insignis","Sonora sucker"
8276,"Caulolatilus affinis","Bighead tilefish"
1704,"Centracanthus cirrus","Curled picarel"
11870,"Centriscus cristatus","Smooth razorfish"
7428,"Centrobranchus andreae","Andre's lanternfish"
649,"Centrophorus harrissoni","Dumb gulper shark"
651,"Centrophorus moluccensis","Smallfin gulper shark"
654,"Centrophorus tessellatus","Mosaic gulper shark"
10975,"Centropomus armatus","Armed snook"
6429,"Centropomus medius","Blackfin snook"
7531,"Centropomus mexicanus","Largescale fat snook"
1016,"Centropomus poeyi","Mexican snook"
10978,"Centropomus robalito","Yellowfin snook"
660,"Centroscyllium nigrum","Combtooth dogfish"
663,"Centroscymnus crepidater","Longnose velvet dogfish"
6442,"Cephalopholis aitha","Rusty hind"
16895,"Chaenophryne draco","Smooth dreamer"
4939,"Chaetodipterus lippei","West African spadefish"
10132,"Chanda nama","Elongate glass-perchlet"
5144,"Channa marulius","Great snakehead"
344,"Channa micropeltes","Indonesian snakehead"
5143,"Channa orientalis","Walking snakehead"
5147,"Channa punctata","Spotted snakehead"
343,"Channa striata","Striped snakehead"
9445,"Channallabes apus","Eel catfish"
80,"Chanos chanos","Milkfish"
7695,"Cheilopogon cyanopterus","Margined flyingfish"
1029,"Cheilopogon heterurus","Mediterranean flyingfish"
15353,"Cheilopogon rapanouiensis","Easter island flyingfish"
13220,"Chela cachius", 
9197,"Chelidonichthys obscurus","Longfin gurnard"
5115,"Chelon dumerili","Grooved mullet"
 ,"Chelon parsia", 
 ,"Chilomycterus spinosus spinosus", 
5902,"Chiloscyllium caeruleopunctatum","Bluespotted bambooshark"
5120,"Chiloscyllium plagiosum","Whitespotted bambooshark"
5903,"Chiloscyllium punctatum","Brownbanded bambooshark"
50254,"Chirostoma aculeatum","Scowling silverside"
2078,"Chitala chitala","Clown knifefish"
8765,"Chitala lopis","Giant featherback"
1808,"Chlorophthalmus agassizi","Shortnose greeneye"
4878,"Chondrostoma nasus","Common nase"
3151,"Chriodorus atherinoides","Hardhead halfbeak"
10897,"Chromobotia macracanthus","Clown loach"
2441,"Chrysichthys maurus", 
2440,"Chrysichthys nigrodigitatus","Bagrid catfish"
9325,"Chrysichthys thysi", 
12438,"Chrysiptera annulata","Footballer demoiselle"
11969,"Chrysiptera rapanui","Easter damselfish"
6002,"Chrysoblephus cristiceps","Daggerhead seabream"
5530,"Chrysoblephus puniceus","Slinger seabream"
8308,"Chrysochir aureus","Reeve's croaker"
4494,"Cirrhinus cirrhosus","Mrigal carp"
49051,"Cirrhinus molitorella","Mud carp"
66743,"Cirrhinus mrigala", 
65229,"Cirrhinus reba","Reba carp"
4942,"Citharichthys stampflii","Smooth flounder"
5269,"Citharinus citharus","Moon fish"
11267,"Citharinus gibbosus", 
5268,"Citharinus latus", 
7665,"Citharoides macrolepis","Twospot largescale flounder"
9446,"Clariallabes attemsi", 
376,"Clarias anguillaris","Mudfish"
3054,"Clarias batrachus","Philippine catfish"
2095,"Clarias buthupogon", 
2094,"Clarias gabonensis", 
1934,"Clarias gariepinus","North African catfish"
4805,"Clarias macrocephalus","Bighead catfish"
2089,"Clarias ngamensis","Blunt-toothed African catfish"
9329,"Clarotes bidorsalis", 
1561,"Clupeoides borneensis","Borneo river sprat"
8437,"Coelorinchus aconcagua","Aconcagua grenadier"
629,"Coilia mystus","Osbeck's grenadier anchovy"
23635,"Collichthys lucidus", 
263,"Colossoma macropomum","Cachama"
1017,"Conger triporiceps","Manytooth conger"
11701,"Congresox talabon","Yellow pike conger"
2296,"Copadichromis virginalis","Lake Malawi utaka"
2487,"Coptodon discolor", 
1390,"Coptodon zillii","Redbelly tilapia"
231,"Coregonus albula","Vendace"
2669,"Coregonus autumnalis","Arctic cisco"
234,"Coregonus clupeaformis","Lake whitefish"
2672,"Coregonus kiyi","Kiyi"
232,"Coregonus lavaretus","European whitefish"
48246,"Coregonus nilssoni", 
4646,"Coregonus pollan","Irish pollan"
1566,"Corica soborna","Ganges river sprat"
7,"Coryphaena equiselis","Pompano dolphinfish"
8467,"Coryphaenoides acrolepis","Pacific grenadier"
27101,"Cosmochilus harmandi", 
9942,"Cotylopus acutipinnis", 
22668,"Craterocephalus stramineus","Blackmast"
24464,"Crossocheilus latius","Stone roller"
3098,"Cryptopsaras couesii","Triplewart seadevil"
60,"Crystallogobius linearis","Crystal goby"
79,"Ctenopharyngodon idella","Grass carp"
2496,"Ctenopoma kingsleyae","Tailspot ctenopoma"
10043,"Ctenopoma muriei","Ocellated labyrinth fish"
95,"Cybiosarda elegans","Leaping bonito"
10313,"Cyclocheilichthys apogon","Beardless barb"
5455,"Cynoglossus bilineatus","Fourlined tonguesole"
8238,"Cynoglossus lingua","Long tongue sole"
4951,"Cynoglossus senegalensis","Senegalese tonguesole"
4952,"Cynoponticus ferox","Guinean pike conger"
1096,"Cynoponticus savanna","Guayana pike-conger"
14026,"Cynoscion othonopterus","Gulf weakfish"
3581,"Cynoscion parvipinnis","Shortfin weakfish"
3582,"Cynoscion xanthulus","Orangemouth weakfish"
5407,"Cyphomyrus discorhynchus","Zambesi parrotfish"
3181,"Cyprinodon variegatus","Sheepshead minnow"
14470,"Cyprinus acutidorsalis", 
1450,"Cyprinus carpio","Common carp"
59920,"Cyprinus rubrofuscus", 
5159,"Cypselurus opisthopus","Black-finned flyingfish"
8854,"Dagetichthys lusitanicus","Portuguese sole"
669,"Dalatias licha","Kitefin shark"
1789,"Dalophis imberbis","Armless snake eel"
9334,"Dasyatis tortonesei","Tortonese's stingray"
671,"Deania hystricosa","Rough longnose dogfish"
672,"Deania profundorum","Arrowhead dogfish"
16282,"Deltentosteus quadrimaculatus","Four-spotted goby"
5828,"Dendrochirus zebra","Zebra turkeyfish"
8061,"Dentex barnardi","Barnard's dentex"
11298,"Dermogenys pusilla","Wrestling halfbeak"
4957,"Dicologlossa hexophthalma","Ocellated wedge sole"
9463,"Dinotopterus cunningtoni", 
7409,"Diogenichthys atlanticus","Longfin lanternfish"
50016,"Diplectrum conceptione","Sand-perch"
17443,"Diplocheilichthys pleurotaenia", 
8062,"Diplodus bellottii","Senegal seabream"
6004,"Diplodus capensis","Cape white seabream"
2263,"Diplotaxodon argenteus", 
22551,"Dipturus macrocauda","Bigtail skate"
50858,"Dipturus trachyderma","Ray"
7212,"Discordipinna griessingeri","Spikefin goby"
3826,"Dormitator latifrons","Pacific fat sleeper"
3827,"Dormitator maculatus","Fat sleeper"
455,"Drepane africana","African sicklefish"
1364,"Echiichthys vipera","Lesser weever"
642,"Echinorhinus cookei","Prickly shark"
27276,"Ecsenius pulcher","Gulf blenny"
1559,"Ehirava fluviatilis","Malabar sprat"
8034,"Eleotris fusca","Dusky sleeper"
59426,"Eleutheronema rhadinum","East Asian fourfinger threadfin"
2601,"Elops affinis","Machete"
6415,"Elops hawaiensis","Hawaiian ladyfish"
5023,"Elops senegalensis","Senegalese ladyfish"
16829,"Encheliophis boraborensis","Pinhead pearlfish"
6488,"Enchelycore bayeri","Bayer's moray"
5138,"Engraulicypris sardella","Lake Malawi sardine"
1324,"Engyprosopon grandisquama","Largescale flounder"
46539,"Enneanectes carminalis","Carmine triplefin"
7571,"Enteromius paludinosus","Straightfin barb"
4960,"Ephippion guttifer","Prickly puffer"
54788,"Epigonus crassicaudus", 
6459,"Epinephelus amblycephalus","Banded grouper"
7336,"Epinephelus chabaudi","Moustache grouper"
9219,"Epinephelus cifuentesi","Olive grouper"
9224,"Epinephelus costae","Goldblotch grouper"
7341,"Epinephelus epistictus","Dotted grouper"
6467,"Epinephelus fasciatomaculosus","Rock grouper"
7350,"Epinephelus latifasciatus","Striped grouper"
6469,"Epinephelus magniscuttis","Speckled grouper"
8714,"Eptatretus polytrema","Fourteen-gill hagfish"
4453,"Equulites leuciscus","Whipfin ponyfish"
5919,"Eridacnis radcliffei","Pygmy ribbontail catshark"
3562,"Erythrocles monodi","Atlantic rubyfish"
1522,"Escualosa thoracata","White sardine"
5150,"Esomus danrica","Flying barb"
27062,"Esomus longimanus","Mekong flying barb"
258,"Esox lucius","Northern pike"
1392,"Etelis radiosus","Pale snapper"
681,"Etmopterus lucifer","Blackbelly lanternshark"
685,"Etmopterus schultzi","Fringefin lanternshark"
4681,"Etroplus suratensis","Pearlspot"
1050,"Eucinostomus gula","Jenny mojarra"
756,"Eucrossorhinus dasypogon","Tasselled wobbegong"
13697,"Eugerres axillaris","Black axillary mojarra"
7533,"Eugerres brasilianus","Brazilian mojarra"
13730,"Eugerres lineatus","Streaked mojarra"
1053,"Eugerres plumieri","Striped mojarra"
3156,"Euleptorhamphus viridis","Ribbon halfbeak"
8244,"Eupleurogrammus muticus","Smallhead hairtail"
908,"Eusphyra blochii","Winghead shark"
13347,"Eutropiichthys vacha","Batchwa vacha"
47988,"Exechodontes daidaleus", 
11214,"Feroxodon multistriatus","Manystriped blowfish"
805,"Figaro boardmani","Sawtail catshark"
4954,"Fontitrygon margarita","Daisy stingray"
26645,"Fontitrygon margaritella","Pearl stingray"
8968,"Fontitrygon ukpam","Thorny freshwater stingray"
3191,"Fundulus grandis","Gulf killifish"
3192,"Fundulus heteroclitus","Mummichog"
2011,"Gadella maraldi","Gadella"
1877,"Gaidropsarus biscayensis","Mediterranean bigeye rockling"
1740,"Gaidropsarus mediterraneus","Shore rockling"
1876,"Gaidropsarus vulgaris","Three-bearded rockling"
13493,"Galeichthys peruvianus","Peruvian sea catfish"
804,"Galeus arae","Roughtail catshark"
53997,"Galeus atlanticus","Atlantic sawtail cat shark"
806,"Galeus eastmani","Gecko catshark"
808,"Galeus murinus","Mouse catshark"
809,"Galeus nipponensis","Broadfin sawtail catshark"
811,"Galeus polli","African sawtail catshark"
812,"Galeus sauteri","Blacktip sawtail catshark"
813,"Galeus schultzi","Dwarf sawtail catshark"
1041,"Gempylus serpens","Snake mackerel"
5667,"Genicanthus bellus","Ornate angelfish"
13992,"Genidens barbus","White sea catfish"
13982,"Genidens genidens","Guri sea catfish"
4751,"Geophagus brasiliensis","Pearl cichlid"
65427,"Geophagus sveni", 
6947,"Geotria australis","Pouched lamprey"
4962,"Gephyroberyx darwinii","Darwin's slimehead"
9331,"Gephyroglanis congicus", 
4463,"Gerres filamentosus","Whipfin silver-biddy"
4439,"Gibelion catla","Catla"
57959,"Girella laevifrons", 
58177,"Girella nebulosa","Rapanui nibbler"
1782,"Glossanodon leioglossus","Smalltoothed argentine"
4833,"Glossogobius giuris","Tank goby"
2085,"Gnathonemus petersii","Elephantnose fish"
28055,"Gobiodon acicularis","Needlespine coral goby"
3862,"Gobionellus oceanicus","Highfin goby"
23661,"Gobiopsis aporia","Poreless barbelgoby"
25035,"Gobitrichinotus radiocularis", 
7648,"Gobius cruentatus","Red-mouthed goby"
73,"Gobius paganellus","Rock goby"
 ,"Gobiusculus flavescens", 
1622,"Gonialosa manmina","Ganges river gizzard shad"
6638,"Grammatobothus polyophthalmus","Threespot flounder"
57673,"Graus nigra", 
27916,"Guavina guavina","Guavina"
1601,"Gudusia chapra","Indian river shad"
26939,"Gulaphallus bikolanus", 
1717,"Gymnammodytes cicerelus","Mediterranean sand eel"
75,"Gymnammodytes semisquamatus","Smooth sandeel"
7317,"Gymnapistes marmoratus","Soldier"
4519,"Gymnarchus niloticus","Aba"
9035,"Gymnothorax polygonius","Polygon moray"
27501,"Gymnothorax porphyreus","Lowfin moray"
10915,"Gymnotus carapo","Banded knifefish"
2577,"Gymnura altavela","Spiny butterfly ray"
13183,"Gymnura crebripunctata","Longsnout butterfly ray"
2578,"Gymnura marmorata","California butterfly ray"
2579,"Gymnura micrura","Smooth butterfly ray"
8260,"Gymnura poecilura","Long-tailed butterfly ray"
4423,"Halimuraena hexagonata", 
4803,"Hampala macrolepidota","Hampala barb"
51205,"Helicolenus lengerichi", 
14226,"Helicophagus waandersii", 
500,"Helostoma temminckii","Kissing gourami"
3325,"Hemanthias leptus","Longtail bass"
58032,"Hemibagrus filamentus", 
5427,"Hemibagrus nemurus","Asian redtail catfish"
26973,"Hemibagrus wyckioides", 
8598,"Hemibates stenosoma", 
1942,"Hemicaranx bicolor","Bicolor jack"
1944,"Hemicaranx zelotes","Blackfin jack"
59782,"Hemichromis elongatus","Banded jewel cichlid"
2390,"Hemichromis fasciatus","Banded jewelfish"
5897,"Hemigaleus microstoma","Sicklefin weasel shark"
58279,"Hemilutjanus macrophthalmos","Grape-eye seabass"
5898,"Hemipristis elongata","Snaggletooth shark"
1057,"Hemiramphus balao","Balao halfbeak"
13261,"Hemisorubim platyrhynchos","Porthole shovelnose catfish"
55277,"Henicorhynchus siamensis","Siamese mud carp"
66928,"Hepsetus kingsleyae", 
4530,"Hepsetus odoe", 
636,"Heptranchias perlo","Sharpnose sevengill shark"
1489,"Herklotsichthys dispilonotus","Blacksaddle herring"
1492,"Herklotsichthys lossei","Gulf herring"
46651,"Heteristius cinctus", 
2319,"Heterobranchus longifilis","Sampa"
743,"Heterodontus portusjacksoni","Port Jackson shark"
8844,"Heteromycteris proboscideus","True sole"
4885,"Heteropneustes fossilis","Stinging catfish"
2388,"Heterotis niloticus","African bonytongue"
4229,"Hippoglossina oblonga","American fourspot flounder"
7457,"Hirundichthys affinis","Fourwing flyingfish"
1035,"Hirundichthys rondeletii","Black wing flyingfish"
829,"Holohalaelurus regani","Izak catshark"
4757,"Hoplias malabaricus","Trahira"
4496,"Hydrocynus forskahlii","Elongate tigerfish"
8682,"Hydrocynus goliath","Giant tigerfish"
4479,"Hydrocynus vittatus","Tiger fish"
55060,"Hydrolagus macrophthalmus","Big eye chimaera"
65072,"Hydrolagus melanophasma","Eastern Pacific Black Ghostshark"
1718,"Hygophum benoiti","Benoit's lanternfish"
1247,"Hypanus americanus","Southern stingray"
2573,"Hypanus dipterurus","Diamond stingray"
2575,"Hypanus say","Bluntnose stingray"
5075,"Hyperopisus bebe", 
1374,"Hyperoplus lanceolatus","Great sandeel"
274,"Hypophthalmichthys molitrix","Silver carp"
275,"Hypophthalmichthys nobilis","Bighead carp"
4533,"Hypophthalmus edentatus","Highwaterman catfish"
25736,"Hypophthalmus marginatus", 
51777,"Hypophthalmus oremaculatus", 
8313,"Hyporhamphus limbatus","Congaturi halfbeak"
1060,"Hyporhamphus unifasciatus","Common halfbeak"
9205,"Hyporthodus acanthistius","Rooster hind"
9594,"Hyporthodus niphobles","Star-studded grouper"
6371,"Hyporthodus quernus","Hawaiian grouper"
27525,"Hypsibarbus malcolmi","Goldfin tinfoil barb"
6185,"Ictalurus australis","Pánuco catfish"
3019,"Ictalurus furcatus","Blue catfish"
290,"Ictalurus punctatus","Channel catfish"
2992,"Ictiobus bubalus","Smallmouth buffalo"
1629,"Ilisha fuerthii","Pacific ilisha"
1632,"Ilisha megaloptera","Bigeye ilisha"
1633,"Ilisha melastoma","Indian ilisha"
891,"Isogomphodon oxyrhynchus","Daggernose shark"
15578,"Japonolaeops dentatus", 
1461,"Jenkinsia lamprotaenia","Dwarf round herring"
7785,"Johnius amblycephalus","Bearded croaker"
6530,"Johnius dussumieri","Sin croaker"
12051,"Johnius trachycephalus","Leaftail croaker"
24254,"Kentrocapros aculeatus", 
16139,"Kryptopterus cryptopterus", 
14917,"Kuhlia munda","Silver flagtail"
12075,"Labeo bata","Bata"
5151,"Labeo calbasu","Orangefin labeo"
5129,"Labeo capensis","Orange river mudfish"
12102,"Labeo chrysophekadion","Black sharkminnow"
2434,"Labeo coubie","African carp"
13631,"Labeo dussumieri", 
10433,"Labeo fimbriatus","Fringed-lipped peninsula carp"
11542,"Labeo forskalii", 
10254,"Labeo gonius","Kuria labeo"
11553,"Labeo lineatus", 
5411,"Labeo mesops","Tana labeo"
13176,"Labeo pangusia", 
82,"Labeo rohita","Roho labeo"
4818,"Labeobarbus aeneus","Smallmouth yellowfish"
11282,"Labeobarbus altianalis","Ripon barbel"
4673,"Labeobarbus kimberleyensis","Largemouth yellowfish"
25195,"Labiobarbus leptocheilus", 
55259,"Labrisomus philippii","Chalapo clinid"
1375,"Labrus mixtus","Cuckoo wrasse"
51659,"Labrus viridis", 
3576,"Lagodon rhomboides","Pinfish"
755,"Lamna ditropis","Salmon shark"
4480,"Lampetra fluviatilis","River lamprey"
8945,"Lamprogrammus brunswigi", 
22513,"Lappanella fasciata", 
14011,"Larimus effulgens","Shining drum"
4497,"Lates angustifrons","Tanganyika lates"
346,"Lates calcarifer","Barramundi"
9898,"Lates mariae","Bigeye lates"
4801,"Lates microlepis","Forktail lates"
347,"Lates niloticus","Nile perch"
4498,"Lates stappersii","Sleek lates"
11913,"Lebiasina bimaculata","Twospot lebiasina"
16742,"Lecanogaster chrysea", 
2016,"Lepidion eques","North Atlantic codling"
2017,"Lepidion lepidion","Mediterranean codling"
47183,"Lepidoblennius haplodactylus","Eastern jumping blenny"
5336,"Lepidocephalichthys guntea","Guntea loach"
8846,"Lepidopsetta mochigarei","Dusky sole"
3910,"Lepidopus fitchi","Pacific scabbardfish"
10186,"Lepidotrigla dieuzeidei","Spiny gurnard"
1075,"Lepisosteus oculatus","Spotted gar"
1076,"Lepisosteus osseus","Longnose gar"
3375,"Lepomis macrochirus","Bluegill"
7552,"Lepophidium aporrhox","Dusky cusk eel"
4797,"Leptobarbus hoevenii","Hoven's carp"
16551,"Lestidiops affinis","Barracudina"
1841,"Lethrinus crocineus","Yellowtail emperor"
4783,"Leuciscus aspius","Asp"
2801,"Leuciscus idus","Ide"
2562,"Leucoraja ocellata","Winter skate"
7964,"Leucoraja wallacei","Yellowspotted skate"
8323,"Liachirus melanospilos","Carpet sole"
8882,"Limanda punctatissima", 
1550,"Limnothrissa miodon","Lake Tanganyika sardine"
8638,"Limnotilapia dardennii", 
4244,"Liopsetta glacialis","Arctic flounder"
6592,"Lithognathus aureti","West coast seabream"
7516,"Lophiodes mutilus","Smooth angler"
310,"Lota lota","Burbot"
12117,"Luciopimelodus pati","Pati"
23719,"Luposicya lupus","Wolfsnout goby"
1411,"Lutjanus bitaeniatus","Indonesian snapper"
1418,"Lutjanus boutton","Moluccan snapper"
1419,"Lutjanus buccanella","Blackfin snapper"
1429,"Lutjanus dentatus","African brown snapper"
1439,"Lutjanus goreensis","Gorean snapper"
157,"Lutjanus lemniscatus","Yellowstreaked snapper"
177,"Lutjanus sanguineus","Humphead snapper"
182,"Lutjanus timoriensis","Timor snapper"
1725,"Luvarus imperialis","Luvar"
12598,"Luzonichthys earlei","Earle's splitfin"
4949,"Macrochirichthys macrochirus","Long pectoral-fin minnow"
66332,"Macrodon atricauda","Southern King Weakfish"
5152,"Macrognathus aculeatus","Lesser spiny eel"
10147,"Macrognathus pancalus","Barred spiny eel"
2568,"Malacoraja senta","Smooth skate"
8904,"Malacoraja spinacidermis","Soft skate"
2087,"Malapterurus electricus","Electric catfish"
5083,"Marcusenius abadii", 
5405,"Marcusenius macrolepidotus","Bulldog"
10142,"Margariscus margarita","Allegheny pearl dace"
10140,"Mastacembelus armatus","Zig-zag eel"
12026,"Mastacembelus erythrotaenia","Fire eel"
10090,"Mastacembelus marchei", 
54832,"Mastacembelus mastacembelus","Euphrates spiny eel"
10092,"Mastacembelus niger", 
8500,"Mataeocephalus tenuicauda","Slendertail grenadier"
2294,"Mchenga inornata", 
52574,"Megaleporinus macrocephalus", 
23445,"Megaleporinus obtusidens", 
47742,"Megalonema platanum", 
12544,"Melamphaes acanthomus","Slender bigscale"
5118,"Melanonus zugmayeri","Arrowtail"
3150,"Melanostigma atlanticum","Atlantic soft pout"
14003,"Menticirrhus nasus","Highfin king croaker"
12968,"Menticirrhus ophicephalus","Snakehead kingcroaker"
14001,"Menticirrhus panamensis","Panama kingcroaker"
61588,"Merluccius patagonicus","Patagonian hake"
